kegg,smiles,mass,formula,pubchem,chebi
C00322,C(CC(=O)C(=O)O)CC(=O)O,160.0372,C6H8O5,71,CHEBI:15753
C00325,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3NC(=NC4=O)N)O)O)O)O)O,589.0822,C16H25N5O15P2,10918995,CHEBI:13332
C00327,C(C[C@@H](C(=O)O)N)CNC(=O)N,175.0957,C6H13N3O3,6992098,CHEBI:16349
C00328,C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N,208.0848,C10H12N2O3,161166,CHEBI:16946
C00330,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)CO)O,267.0968,C10H13N5O4,187790,CHEBI:17172
C00331,C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O,203.0582,C11H9NO3,803,CHEBI:29750
C00332,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,851.1363,C25H40N7O18P3S,92153,CHEBI:15345
C00334,C(CC(=O)O)CN,103.0633,C4H9NO2,119,CHEBI:16865
C00337,C1[C@H](NC(=O)NC1=O)C(=O)O,158.0328,C5H6N2O4,439216,CHEBI:17025
C00345,C([C@H]([C@H]([C@@H]([C@H](C(=O)O)O)O)O)O)OP(=O)(O)O,276.0246,C6H13O10P,91493,NA
C00346,C(COP(=O)(O)O)N,141.0191,C2H8NO4P,1015,CHEBI:17553
C00352,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)N)O)O)OP(=O)(O)O,259.0457,C6H14NO8P,440997,CHEBI:47987
C00353,CC(=CCC/C(=C/CC/C(=C/CC/C(=C/COP(=O)(O)OP(=O)(O)O)/C)/C)/C)C,450.1936,C20H36O7P2,447277,NA
C00355,C1=CC(=C(C=C1C[C@@H](C(=O)O)N)O)O,197.0688,C9H11NO4,6047,CHEBI:15765
C00356,C[C@](CC(=O)O)(CC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O)O,911.1575,C27H44N7O20P3S,445127,CHEBI:15467
C00357,CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](OC1O)COP(=O)(O)O)O)O,301.0563,C8H16NO9P,440996,CHEBI:15784
C00361,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)OP(=O)(O)O)O,427.0294,C10H15N5O10P2,439220,CHEBI:28862
C00362,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O,347.0631,C10H14N5O7P,65059,CHEBI:16192
C00363,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O)O,402.0229,C10H16N2O11P2,164628,CHEBI:18075
C00364,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=O)(O)O)O,322.0566,C10H15N2O8P,9700,CHEBI:17013
C00365,C1[C@@H]([C@H](O[C@H]1N2C=CC(=O)NC2=O)COP(=O)(O)O)O,308.041,C9H13N2O8P,65063,CHEBI:17622
C00366,C12=C(NC(=O)N1)NC(=O)NC2=O,168.0283,C5H4N4O3,1175,CHEBI:17775
C00371,C/C(=C\CNC1=NC=NC2=C1NC=N2)/CO,219.112,C10H13N5O,449093,CHEBI:15333
C00376,CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C=O)/C)/C,284.214,C20H28O,638015,CHEBI:17898
C00378,CC1=C(SC=[N+]1CC2=CN=C(N=C2N)C)CCO,265.1123,C12H17N4OS,1130,CHEBI:18385
C00379,C([C@H](C([C@H](CO)O)O)O)O,152.0685,C5H12O5,NA,CHEBI:17151
C00380,C1=C(NC(=O)N=C1)N,111.0433,C4H5N3O,597,CHEBI:16040
C00383,C(C(=O)O)C(=O)O,104.011,C3H4O4,23511544,CHEBI:30794
C00385,C1=NC2=C(N1)C(=O)NC(=O)N2,152.0334,C5H4N4O2,1188,CHEBI:17712
C00386,C1=C(NC=N1)C[C@@H](C(=O)O)NC(=O)CCN,226.1066,C9H14N4O3,439224,CHEBI:15727
C00388,C1=C(NC=N1)CCN,111.0796,C5H9N3,774,CHEBI:18295
C00389,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,302.0427,C15H10O7,5280343,CHEBI:16243
C00392,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,182.079,C6H14O6,6251,CHEBI:16899
C00398,C1=CC=C2C(=C1)C(=CN2)CCN,160.1,C10H12N2,1150,CHEBI:16765
C00402,C([C@H](C(=O)O)N)C(=O)O,133.0375,C4H7NO4,83887,CHEBI:17364
C00407,CC[C@H](C)[C@@H](C(=O)O)N,131.0946,C6H13NO2,6306,CHEBI:17191
C00408,C1CCN[C@@H](C1)C(=O)O,129.079,C6H11NO2,439227,CHEBI:30913
C00410,CC(=O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@]34C)C,314.2246,C21H30O2,5994,CHEBI:17026
C00412,CCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@@H](C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C2N=CN=C3N)O)OP(=O)(O)O)O,1033.3762,C39H70N7O17P3S,94140,CHEBI:15541
C00415,C1C(=NC2=C(N1)NC(=NC2=O)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,443.1553,C19H21N7O6,98792,CHEBI:15633
C00417,C(/C(=C/C(=O)O)/C(=O)O)C(=O)O,174.0164,C6H6O6,643757,CHEBI:32805
C00423,C1=CC=C(C=C1)/C=C/C(=O)O,148.0524,C9H8O2,444539,CHEBI:27386
C00429,C1CNC(=O)NC1=O,114.0429,C4H6N2O2,649,CHEBI:15901
C00430,C(CC(=O)O)C(=O)CN,131.0582,C5H9NO3,137,CHEBI:17549
C00431,C(CCN)CC(=O)O,117.079,C5H11NO2,138,CHEBI:15887
C00438,C([C@@H](C(=O)O)NC(=O)N)C(=O)O,176.0433,C5H8N2O5,93072,CHEBI:15859
C00440,CN1[C@H](CNC2=C1C(=O)N=C(N2)N)CNC3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,459.1866,C20H25N7O6,9825434,NA
C00449,C(CCN[C@@H](CCC(=O)O)C(=O)O)C[C@@H](C(=O)O)N,276.1321,C11H20N2O6,160556,CHEBI:16927
