kegg1,kegg2,smiles1,smiles2,mass1,mass2,formula1,formula2
C00121,C15586,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,150.0528,252.0859,C5H10O5,C10H12N4O4
C00672,C05512,C1[C@@H]([C@H](O[C@@H]1OP(=O)(O)O)CO)O,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O,214.0242,252.0859,C5H11O7P,C10H12N4O4
C00620,C15586,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O,C1=C2C(=NC=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,230.0192,252.0859,C5H11O8P,C10H12N4O4
C00262,C05512,C1=NC2=C(N1)C(=O)N=CN2,C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC=NC3=O)CO)O,136.0385,252.0859,C5H4N4O,C10H12N4O4
C00130,C00294,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,348.0471,268.0808,C10H13N4O8P,C10H12N4O5
C00212,C00294,C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,267.0968,268.0808,C10H13N5O4,C10H12N4O5
C00121,C00294,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,150.0528,268.0808,C5H10O5,C10H12N4O5
C00262,C00294,C1=NC2=C(N1)C(=O)N=CN2,C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O,136.0385,268.0808,C5H4N4O,C10H12N4O5
C00655,C01762,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=O)NC2=O,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,364.042,284.0757,C10H13N4O9P,C10H12N4O6
C00387,C01762,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=NC2=O)N,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,283.0917,284.0757,C10H13N5O5,C10H12N4O6
C00121,C01762,C([C@@H]1[C@H]([C@H](C(O1)O)O)O)O,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,150.0528,284.0757,C5H10O5,C10H12N4O6
C00620,C01762,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,230.0192,284.0757,C5H11O8P,C10H12N4O6
C00385,C01762,C1=NC2=C(N1)C(=O)NC(=O)N2,C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)CO)O)O)NC(=O)NC2=O,152.0334,284.0757,C5H4N4O2,C10H12N4O6
C00620,C05513,C([C@@H]1[C@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O,C([C@@H]1[C@H]([C@H]([C@@H](O1)N2C3=C(C(=O)NC2=O)NC(=O)N3)O)O)O,230.0192,300.0706,C5H11O8P,C10H12N4O7
C00366,C05513,C12=C(NC(=O)N1)NC(=O)NC2=O,C([C@@H]1[C@H]([C@H]([C@@H](O1)N2C3=C(C(=O)NC2=O)NC(=O)N3)O)O)O,168.0283,300.0706,C5H4N4O3,C10H12N4O7
